Año,Cuenta,Interés (%)
2015,Cuenta_1,8.116262258099887
2016,Cuenta_1,19.063571821788408
2017,Cuenta_1,14.907884894416696
2018,Cuenta_1,12.374511199743695
2019,Cuenta_1,3.964354168406294
2020,Cuenta_1,3.96389588638785
2021,Cuenta_1,2.1035886311957896
2022,Cuenta_1,17.457346769723767
2023,Cuenta_1,12.421185223120967
2024,Cuenta_1,14.453378978124864
2015,Cuenta_2,1.3911053916202465
2016,Cuenta_2,19.428287191077892
2017,Cuenta_2,16.816410175208013
2018,Cuenta_2,5.034443102887247
2019,Cuenta_2,4.4546743769349115
2020,Cuenta_2,4.484685687215243
2021,Cuenta_2,6.780602616231217
2022,Cuenta_2,10.97037220101252
2023,Cuenta_2,9.206955354200199
2024,Cuenta_2,6.533353663762797
2015,Cuenta_3,12.62520499972521
2016,Cuenta_3,3.6503833523887947
2017,Cuenta_3,6.550748322169145
2018,Cuenta_3,7.960875022580142
2019,Cuenta_3,9.665329700123683
2020,Cuenta_3,15.918343266467259
2021,Cuenta_3,4.793801861008835
2022,Cuenta_3,10.770454329858621
2023,Cuenta_3,12.255876808378806
2024,Cuenta_3,1.8825578416799567
2015,Cuenta_4,12.54335218612733
2016,Cuenta_4,4.239958350058539
2017,Cuenta_4,2.235980266720311
2018,Cuenta_4,19.02882520781333
2019,Cuenta_4,19.347008628416628
2020,Cuenta_4,16.35954961421276
2021,Cuenta_4,6.787661614294043
2022,Cuenta_4,2.8557701661212933
2023,Cuenta_4,14.00042750373098
2024,Cuenta_4,9.362897381052425
2015,Cuenta_5,3.3187264620507975
2016,Cuenta_5,10.408361292114133
2017,Cuenta_5,1.6533819011891495
2018,Cuenta_5,18.27708763949686
2019,Cuenta_5,5.916819650400321
2020,Cuenta_5,13.587923402725657
2021,Cuenta_5,6.9225104456988085
2022,Cuenta_5,10.881292402378406
2023,Cuenta_5,11.387495307522313
2024,Cuenta_5,4.512234654985013
